Mouse_ID,Sex,Eotaxin,G-CSF,GM-CSF,IFNg,IL-10,IL-12p40,IL-12p70,IL-13,IL-17a,IL-1b,IL-2,IL-3,IL-4,IL-5,IL-6,IL-9,IL-1a,KC,MCP-1,MIP-1b,MIP-1a,RANTES,TNF-a,Day.x,Severity,NK Cells,T-Cells,CD4 T-Cells,Effector CD4 T-Cells,Tregs,Th-1,Th-17,CD8 T-Cells,Effector CD8 T-Cells,CD11b CCR2,CCR2 Ly6cHi,CCR2 Ly6cLo,Neutrophils,Interstitial Macrophages,Alveolar Macrophages,DCs,Day_0_BW
1,Male,19038.76221,157.980456,284.0390879,243.3224756,92.83387622,948.534202,1323.778502,1309.771987,142.019544,52.11726384,95.1140065,74.267101,37.1335505,39.7394137,54.723127,352.4429967,306.1889251,787.9478827,6903.583062,2676.872964,313.029316,12180.78176,379.1530945,0,mild,3.607827337,22.15456274,8.421621325,0,0.238079977,0.059519994,0.690431932,8.485414549,3.05E-04,14.52364676,7.367289716,7.000990689,6.770317349,13.4108581,0.250414006,0.985936603,12.7
2,Male,23462.54682,181.6479401,239.7003745,216.8539326,106.741573,1052.434457,1239.700375,1199.250936,207.4906367,59.92509363,45.6928839,71.1610487,28.0898876,30.33707865,68.164794,277.5280899,336.329588,740.0749064,4004.868914,597.3782772,208.988764,8441.947566,435.9550562,0,mild,7.01084821,14.36918083,2.616895874,0,0.07619373,0.033142564,0.270607329,10.48056718,0,8.747650695,6.093662204,2.59634574,9.404003023,6.638119781,0.342950146,0.316308539,12.5
3,Male,20200.6689,162.2073579,358.8628763,384.2809365,95.31772575,2328.428094,1526.755853,1990.635452,229.09699,53.51170569,181.6053512,93.9799331,27.4247492,79.9331104,87.9598662,438.1270903,452.5083612,833.4448161,5150.83612,1475.250836,286.9565217,8980.267559,615.3846154,0,mild,4.139667175,20.38237014,5.397795695,0,0.191529137,0.060784696,0.853852947,11.30308626,0,8.320283313,5.762991167,2.499974412,10.40368062,6.18570946,0.592624436,0.805007114,14.4
4,Male,15982.9932,164.9659864,296.5986395,312.9251701,96.93877551,691.8367347,1616.666667,1229.591837,215.3061224,54.42176871,114.9659864,73.1292517,30.6122449,41.4965986,65.9863946,321.4285714,488.4353741,2437.07483,6336.394558,1175.510204,214.6258503,5570.748299,433.6734694,0,mild,5.198233413,22.34529672,6.422661049,0.00101528,0.154322554,0.098482156,0.912736687,12.03106757,0.00203056,7.386727156,4.251730355,3.050660152,19.51957192,5.56621881,0.982958181,0.721223754,13.3
5,Male,20593.80165,100.2066116,293.8016529,234.7107438,58.88429752,1238.016529,969.0082645,912.8099174,130.785124,33.05785124,139.4628099,60.7438017,21.9008264,49.3801653,63.4297521,289.6694215,276.6528926,475.2066116,6562.190083,1920.454545,312.8099174,10845.66116,500.2066116,0,mild,1.915818369,20.5110517,2.01983015,0,0.081136338,0.048252888,0.198372984,14.11843761,0,8.846411835,4.276503415,4.481841288,7.232912467,7.54411342,0.256444187,0.767507335,16.6
6,Male,13697.5,121.25,109,162.5,71.25,880,953.25,585.5,124.25,40,30.5,53.75,11,20.25,62,208,316,722.75,4461.5,652.75,211.25,8454,374.5,0,severe,3.557898152,23.48308209,5.629017944,0,0.180042052,0.120240098,0.458057518,13.32279377,0,11.99687041,6.539641995,5.312829895,9.136514128,9.69426059,0.399540916,0.460234317,16.43
7,Male,20525.7732,166.6666667,219.9312715,206.8728522,97.93814433,1688.659794,964.604811,1100.343643,181.443299,54.98281787,41.92439863,101.0309278,12.71477663,41.9243986,40.2061856,215.4639175,374.9140893,719.5876289,8072.852234,548.1099656,407.9037801,15405.84192,514.7766323,0,severe,4.274988325,30.28056856,8.385922475,0,0.089810679,0.082625825,0.934031063,10.25997198,0,7.287407124,2.961596687,4.2462023,6.62487602,7.760705772,0.38020498,1.298961179,15.9
8,Male,20272.06349,153.968254,138.4126984,356.5079365,90.47619048,1101.587302,1130.793651,1526.984127,206.031746,50.79365079,283.1746032,93.3333333,15.2380952,63.4920635,50.4761905,372.3809524,479.6825397,430.1587302,4673.333333,506.3492063,204.1269841,10013.33333,475.5555556,0,severe,2.641491638,22.16294602,10.55594527,0,0.310070208,0.090781011,1.230259551,9.091659347,5.89E-04,5.714563519,1.095180851,4.507124421,12.41735318,4.477954955,0.494113071,1.107555776,13.41
9,Male,26482.55034,162.7516779,169.4630872,359.7315436,95.63758389,576.5100671,1405.704698,1349.328859,222.8187919,53.69127517,208.0536913,72.147651,12.41610738,93.2885906,59.3959732,340.2684564,430.8724832,608.3892617,7062.751678,535.2348993,259.0604027,8029.194631,502.6845638,0,severe,3.915766203,24.36322017,5.57467938,0,0.156230281,0.063971731,0.848169408,14.81620095,0.001740727,11.29164975,8.865865909,2.363803458,5.873709633,10.57780675,0.35852444,0.033661758,12.25
10,Male,20698.97959,123.7244898,319.8979592,482.6530612,86.7346939,1076.785714,1833.928571,1799.744898,191.0714286,41.0714286,501.5306122,68.3673469,27.0408163,120.4081633,131.6326531,708.4183673,485.2040816,579.3367347,5444.132653,1601.020408,249.4897959,7562.5,738.5204082,0,mild,2.393152574,25.44921875,8.422564338,5.74E-04,0.183823529,0.094784007,0.959903493,12.0513557,0,10.50220299,8.514153702,1.932974617,8.259250595,8.812921589,0.330448006,0.50639451,12.43
