"","Day.x","Mouse_ID","Eotaxin..74.","G.CSF..54.","GM.CSF..73.","IFNg..34.","IL.10..56.","IL.12p40..76.","IL.12p70..78.","IL.13..37.","IL.17A..72.","IL.1b..19.","IL.2..36.","IL.3..18.","IL.4..39.","IL.5..52.","IL.6..38.","IL.9..33.","IL.1a..53.","KC..57.","MCP.1..51.","MIP.1B..75.","MIP.1a..77.","RANTES..55.","TNFa..21.","Severity","Sex"
"1",0,1,19038.76221,0,284.0390879,243.3224756,48.534202,948.534202,1323.778502,1309.771987,142.019544,34.8534202,95.1140065,74.267101,37.1335505,39.7394137,54.723127,352.4429967,306.1889251,787.9478827,6903.583062,2676.872964,313.029316,12180.78176,379.1530945,"mild","Male"
"2",0,2,23462.54682,0,239.7003745,216.8539326,0,1052.434457,1239.700375,1199.250936,207.4906367,40.0749064,45.3183521,71.1610487,28.0898876,15.3558052,68.164794,277.5280899,336.329588,740.0749064,4004.868914,0,208.988764,8441.947566,435.9550562,"mild","Male"
"3",0,3,20200.6689,0,358.8628763,384.2809365,33.1103679,2328.428094,1526.755853,1990.635452,229.09699,46.1538462,181.6053512,93.9799331,27.4247492,79.9331104,87.9598662,438.1270903,452.5083612,833.4448161,5150.83612,1475.250836,286.9565217,8980.267559,615.3846154,"mild","Male"
"4",0,4,15982.9932,0,296.5986395,312.9251701,67.0068027,691.8367347,1616.666667,1229.591837,215.3061224,36.3945578,114.9659864,73.1292517,30.6122449,41.4965986,65.9863946,321.4285714,488.4353741,2437.07483,6336.394558,1175.510204,214.6258503,5570.748299,433.6734694,"mild","Male"
"5",0,5,20593.80165,0,293.8016529,234.7107438,40.7024793,1238.016529,969.0082645,912.8099174,130.785124,25.2066116,139.4628099,60.7438017,21.9008264,49.3801653,63.4297521,289.6694215,276.6528926,475.2066116,6562.190083,1920.454545,312.8099174,10845.66116,500.2066116,"mild","Male"
"6",0,6,13697.5,0,86,162.5,0,880,953.25,585.5,124.25,19,0,53.75,11,10.25,62,208,316,722.75,4461.5,652.75,211.25,8454,374.5,"severe","Male"
"7",0,7,20525.7732,0,219.9312715,206.8728522,0,1688.659794,964.604811,1100.343643,181.443299,36.7697595,32.6460481,101.0309278,7.5601375,41.9243986,40.2061856,215.4639175,374.9140893,719.5876289,8072.852234,524.742268,407.9037801,15405.84192,514.7766323,"severe","Male"
"8",0,8,20272.06349,0,109.2063492,356.5079365,62.5396825,1101.587302,1130.793651,1526.984127,206.031746,38.7301587,283.1746032,93.3333333,15.2380952,63.4920635,50.4761905,372.3809524,479.6825397,430.1587302,4673.333333,0,204.1269841,10013.33333,475.5555556,"severe","Male"
"9",0,9,26482.55034,0,169.4630872,359.7315436,0,576.5100671,1405.704698,1349.328859,222.8187919,30.8724832,208.0536913,72.147651,5.033557,93.2885906,59.3959732,340.2684564,430.8724832,608.3892617,7062.751678,512.4161074,259.0604027,8029.194631,502.6845638,"severe","Male"
"10",0,10,20698.97959,0,319.8979592,482.6530612,86.7346939,1076.785714,1833.928571,1799.744898,191.0714286,41.0714286,501.5306122,68.3673469,27.0408163,120.4081633,131.6326531,708.4183673,485.2040816,579.3367347,5444.132653,1601.020408,249.4897959,7562.5,738.5204082,"mild","Male"
