Lung_weight,Lung_weight_x_100,Mouse_ID,Day.x,Eotaxin (74),G-CSF (54),GM-CSF (73),IFNg (34),IL-10 (56),IL-12p40 (76),IL-12p70 (78),IL-13 (37),IL-17A (72),IL-1a (53),IL-1b (19),IL-2 (36),IL-3 (18),IL-4 (39),IL-5 (52),IL-6 (38),IL-9 (33),KC (57),MCP-1 (51),MIP-1B (75),MIP-1a (77),RANTES (55),TNFa (21),Day.y,BAL Cell counts,Hysteresis,BAL protein,Viral Burden,Days,Day 3,Day 4,Day 5,Day 7,Day 8
33.5,0.0335,1,0,2897.313433,0,0,234.9253731,21.79104478,631.641791,1629.552239,309.2537313,30.44776119,279.7014925,13.13432836,310.7462687,23.58208955,17.6119403,59.70149254,361.4925373,216.4179104,285.3731343,3271.343284,858.8059701,160.8955224,2040.597015,276.4179104,Day 0,60000,1.053153664,377.5,1.082706994,Day 0,148.4210526,153.6842105,160,171.5789474,0
38.1,0.0381,2,0,3728.08399,44.61942257,0,215.7480315,65.87926509,927.0341207,1643.044619,361.9422572,50.1312336,215.2230971,34.90813648,287.9265092,20.73490814,21.52230971,41.99475066,223.3595801,0,486.351706,4418.897638,973.2283465,149.0813648,7883.2021,329.3963255,Day 0,30000,1.165309512,222.5,1.178501638,Day 0,165.0943396,170.754717,169.8113208,174.5283019,0
31.5,0.0315,3,0,2432.698413,53.96825397,0,282.5396825,150.4761905,1070.793651,1941.269841,743.8095238,90.47619048,289.2063492,13.96825397,365.7142857,25.07936508,40.31746032,50.79365079,364.7619048,0,529.5238095,4101.587302,841.9047619,134.6031746,4070.15873,501.2698413,Day 0,30000,1.14584578,163.75,0.786897116,Day 0,130.0884956,133.6283186,134.5132743,145.1327434,0
33.4,0.0334,4,0,2717.664671,50.89820359,0,194.3113772,120.6586826,1757.784431,1917.964072,412.8742515,68.56287425,116.1676647,22.15568862,157.1856287,17.96407186,44.61077844,35.62874251,330.5389222,0,382.3353293,3868.263473,1335.02994,218.8622754,6751.197605,277.245509,Day 0,20000,0.926685761,137.9166667,1.259157199,Day 0,143.8095238,141.9047619,149.5238095,161.9047619,0
50.9,0.0509,6,0,2690.962672,33.39882122,0,273.0844794,0,1241.453831,1115.520629,580.3536346,26.52259332,248.7229862,43.02554028,372.8880157,11.78781925,20.62868369,23.37917485,126.5225933,408.0550098,450.4911591,3600.785855,649.1159136,90.37328094,4265.618861,404.3222004,Day 0,40000,1.133704868,186.25,1.092096898,Day 0,107.5,116.875,111.875,112.5,0
27.9,0.0279,7,0,3147.311828,285.6630824,0,367.3835125,287.8136201,1308.243728,2400.358423,839.7849462,88.53046595,349.8207885,37.27598566,412.9032258,34.76702509,45.51971326,57.34767025,462.3655914,0,970.609319,5059.856631,2111.111111,262.0071685,29765.5914,507.8853047,Day 0,70000,1.289670759,175,1.150831757,Day 0,112.9032258,116.7741935,123.2258065,132.9032258,0
38.6,0.0386,8,0,2792.746114,129.2746114,0,186.0103627,0,1423.57513,1205.440415,357.253886,38.60103627,289.119171,34.45595855,226.1658031,13.21243523,21.24352332,20.20725389,171.761658,0,701.5544041,4227.46114,801.5544041,162.9533679,7555.699482,282.642487,Day 0,70000,1.453568767,122.5,1.128057212,Day 0,114.4827586,117.9310345,121.3793103,130.3448276,0
33.4,0.0334,9,0,2123.952096,50.89820359,0,173.3532934,0,1045.508982,1304.790419,793.7125749,93.71257485,233.8323353,35.32934132,286.8263473,26.34730539,31.43712575,59.88023952,152.0958084,0,351.1976048,1418.862275,861.3772455,137.7245509,12486.82635,448.502994,Day 0,30000,1.479076878,177.5,0.947392998,Day 0,114.3939394,118.1818182,121.2121212,128.030303,0
40.2,0.0402,10,0,3499.502488,42.28855721,0,135.0746269,0,442.2885572,1029.104478,425.1243781,63.93034826,154.2288557,18.4079602,100.2487562,14.92537313,14.67661692,39.80099502,160.199005,0,317.6616915,3792.537313,540.0497512,63.1840796,4569.900498,188.8059701,Day 0,50000,1.157004916,350,0.779279929,Day 0,108.3969466,110.6870229,113.740458,122.9007634,0
36.5,0.0365,11,0,3596.712329,0,0,139.1780822,0,1339.178082,1475.616438,283.8356164,30.4109589,158.630137,12.05479452,93.42465753,8.767123288,22.46575342,54.79452055,192.0547945,0,456.9863014,3188.767123,1120.821918,141.9178082,5745.753425,253.6986301,Day 0,60000,0.934451316,100.4166667,1.449622887,Day 0,115.6976744,119.7674419,122.0930233,125,0
